name,role,location,party,bills,motions
vincent ke,,Don Valley North,Independent,"{'bill_name': ['Bill 183, Chinese Heritage Month Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-183'], 'explanatory_notes': ['The Bill proclaims the month of February in each year as Chinese Heritage Month.']}","{'motion_name': [], 'motion_href': []}"
terence kernaghan,"itic, Economic Development, Job Creation and Trade Deputy Opposition House Leader Member, Standing Committee on Finance and Economic Affai",London North Centre,New Democratic Party of Ontario,"{'bill_name': ['Bill 169, Removing Red Tape for Homeowners (No More Pushy, High-Pressure HVAC Scams) Act, 2024', 'Bill 94, Keeping 2SLGBTQI+ Communities Safe Act, 2023', 'Bill 80, Viewer Discretion Act (Images of Fetuses), 2023', 'Bill PR46, SOFTWAREREVIEWS.COM INC. Act, 2024', 'Bill 42, Gender Affirming Health Care Advisory Committee Act, 2024', 'Bill 25, Rent Stabilization Act, 2022', 'Bill Pr7, Welberne Holding Corp. Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-169', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-94', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-80', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr46', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-42', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-25', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr7'], 'explanatory_notes': ['Section 54 of the Personal Property Security Act is amended to provide that a notice of security interest where the collateral is a prescribed consumer good or an extension of any such notice shall not be registered and any such existing registrations shall be discharged by the registrar. Section 74.1 is amended to give authority to the Minister to prescribe consumer goods for the purposes of subsections 54 (7) and (8).', 'The Schedule enacts the 2SLGBTQI+ Community Safety Zones Act, 2023. The Act provides that the Attorney General may designate 2SLGBTQI+ community safety zones. The Act prohibits persons from performing an act of intimidation within 100 metres of the boundary of a property that is designated as a 2SLGBTQI+ community safety zone.', 'The Bill provides that no one shall send a graphic image of a fetus by mail or otherwise distribute such an image unless the image is contained in an opaque envelope, the exterior of the envelope includes a description of the contents and the exterior of the envelope clearly identifies the sender. The penalty for violating this prohibition is a fine of $100 per image.', '1 SOFTWAREREVIEWS.COM INC. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The Bill enacts the Gender Affirming Health Care Advisory Committee Act, 2022. The Act provides that the Minister of Health shall, within 60 days of the Act coming into force, establish a Gender Affirming Health Care Advisory Committee. The Advisory Committee shall submit a report making recommendations to the Minister for improving access to and coverage for gender affirming health care. After receiving the Advisory Committee’s report, the Minister shall inform the Assembly of the measures that the Minister recommends the Government of Ontario implement.', 'The Bill amends the Residential Tenancies Act, 2006 to do the following:', '1 Welberne Holding Corp. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 65'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_5678A754-755D-EE11-8DF0-000D3AF4FB27']}"
michael s kerzner,Solicitor Genera,York Centre,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 223, Safer Streets, Stronger Communities Act, 2024', 'Bill 159, Preventing Unethical Puppy Sales Act, 2024', 'Bill 102, Strengthening Safety and Modernizing Justice Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-223', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-159', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-102'], 'explanatory_notes': ['The Schedule amends the Cannabis Control Act, 2017 to add a new prohibition respecting the advertisement or promotion of cannabis that is sold unlawfully, along with a related penalty if a person is convicted of contravening the prohibition.', 'The Provincial Animal Welfare Services Act, 2019 is amended. Among the changes are the following:', 'The Schedule amends the Community Safety and Policing Act, 2019 with respect to various matters. The amendments include the following:']}","{'motion_name': ['Motion 13'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/government-motions/#motion_82ACE54E-25CF-ED11-A7C5-002248D511E3']}"
andrea khanjin,"Minister of the Environment, Conservation and Park",Barrie—Innisfil,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 125, Life Leases Act, 2023', 'Bill 117, Skilled Trades Week Act, 2023', 'Bill Pr9, 933834 Ontario Limited Act, 2023', 'Bill Pr8, 1748317 Ontario Inc. Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-125', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-117', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr9', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr8'], 'explanatory_notes': ['The Bill enacts the Life Leases Act, 2023.', 'The Bill proclaims the first full week in November in each year as Skilled Trades Week.', '1 933834 Ontario Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 1748317 Ontario Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 44', 'Motion 8'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B9BEBABF-9ECD-ED11-A7C5-002248D511E3', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_FA7D0F44-6929-ED11-9DB2-002248D51D1B']}"
natalia kusendova bashta,Minister of Long-Term Ca,Mississauga Centre,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 121, Improving Dementia Care in Ontario Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-121'], 'explanatory_notes': ['1 (1)\xa0\xa0The purpose of this section is to develop a framework to ensure that every Ontarian has access to quality dementia care.']}","{'motion_name': ['Motion 77'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_F4AD500E-EC8E-EE11-8179-000D3AF4FD82']}"
anthony leardi,"Deputy Government House Leader Parliamentary Assistant to the Minister of Health Member, Standing Committee on Social Policy",Essex,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 72', 'Motion 54'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_00D3F80F-2578-EE11-8179-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_E51306B8-A3EE-ED11-8848-000D3AF4F44A']}"
stephen lecce,Minister of Energy and Electrificati,King—Vaughan,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 214, Affordable Energy Act, 2024', 'Bill 98, Better Schools and Student Outcomes Act, 2023', 'Bill 28, Keeping Students in Class Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-214', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-98', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-28'], 'explanatory_notes': ['The Schedule amends the Electricity Act, 1998. Here are some highlights:', 'The Schedule makes several amendments to the Early Childhood Educators Act, 2007, including the following:', 'The Bill enacts the Keeping Students in Class Act, 2022.']}","{'motion_name': [], 'motion_href': []}"
neil lumsden,Minister of Sp,Hamilton East—Stoney Creek,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
lisa macleod,,Nepean,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
sol mamakwa,"itic, Indigenous and Treaty Relations Critic, Northern Development Deputy Leader, Official Opposition Vice-Chair, Standing Committee on Justice Policy",Kiiwetinoong,New Democratic Party of Ontario,"{'bill_name': ['Bill 221, Day of Reflection for Indian Residential Schools Act, 2024', 'Bill 196, Justice for Soli Act (Stop Criminalizing Mental Health), 2024', 'Bill 107, 9-1-1 Everywhere in Ontario Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-221', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-196', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-107'], 'explanatory_notes': ['The Bill proclaims September 30 in each year as the Day of Reflection for Indian Residential Schools.', 'The Bill enacts the Justice for Soli Act (Stop Criminalizing Mental Health), 2024. The Act requires the Government of Ontario to recognize that a correctional facility is not an appropriate environment for a person experiencing a mental health crisis and that mental illness should not be criminalized.', 'The Bill enacts the 9-1-1 Everywhere in Ontario Act, 2023 which requires the Solicitor General or such other member of the Executive Council as may be assigned the administration of the Act under the Executive Council Act to fulfil various obligations related to the provision of and infrastructure for 9-1-1 services. The Act also places certain obligations on persons or entities who operate a 9-1-1 call centre respecting the staffing, supervision and training of staff.']}","{'motion_name': ['Motion 66'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B616852E-2362-EE11-8DF0-000D3AF4F44A']}"
michael mantha,,Algoma—Manitoulin,Independent,"{'bill_name': ['Bill 224, Safer Driving Tests Act (Ending the Privatization Failure), 2024', 'Bill 182, Waterpower Day Act, 2024', 'Bill 105, Assessing Fitness to Drive Act, 2023', 'Bill 17, Abuse Prevention Week Act, 2022', 'Bill 13, Northern Health Travel Grant Advisory Committee Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-224', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-182', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-105', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-17', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-13'], 'explanatory_notes': ['Subsection 32 (5) of the Highway Traffic Act provides that the Minister of Transportation may require persons to submit to examinations and to meet other prescribed requirements in connection with obtaining a driver’s licence. The Bill amends the Act to require that those examinations and requirements be administered by an employee of the Ministry of Transportation.', 'The Bill proclaims June 20 in each year as Waterpower Day.', 'The Bill amends the Highway Traffic Act by repealing and replacing section 203. This changes the approach to required medical reports under the Act. The old section 203 required every prescribed person to report to the Registrar every person who is at least 16 years old who, in the opinion of the prescribed person, has or appears to have a prescribed medical condition, functional impairment or visual impairment. The old section 203 also permitted every prescribed person to report to the Registrar a person who is at least 16 years old who, in the opinion of the prescribed person, has or appears to have a medical condition, functional impairment or visual impairment that may make it dangerous for the person to operate a motor vehicle.', 'The Bill enacts Abuse Prevention Week Act, 2022.', 'The Bill enacts the Northern Health Travel Grant Advisory Committee Act, 2022. The Act requires the Minister of Health to establish an advisory committee. The committee’s mandate is to make recommendations for improving the facilitation of reasonable access to health services for people in Northern Ontario by means of reasonable, realistic and efficient reimbursement for travel costs. The committee is required to consult with all relevant stakeholders, including, at minimum, the stakeholders specified in the Bill. The committee is required to report its recommendations to the Minister. The Minister is required to inform the Assembly of the recommendations that the Minister will implement.']}","{'motion_name': [], 'motion_href': []}"
robin martin,"Parliamentary Assistant to the President of the Treasury Board Member, Standing Committee on Government Agencies Member, Standing Committee on Public Acc",Eglinton—Lawrence,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 45'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_223CA3A7-A5CD-ED11-A7C5-002248D51AA6']}"
todd j mccarthy,Minister of Public and Business Service Delivery and Procurem,Durham,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 200, Homeowner Protection Act, 2024', 'Bill 194, Strengthening Cyber Security and Building Trust in the Public Sector Act, 2024', 'Bill 153, Building Infrastructure Safely Act, 2024', 'Bill 142, Better for Consumers, Better for Businesses Act, 2023', 'Bill 78, Group of Seven Day Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-200', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-194', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-153', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-142', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-78'], 'explanatory_notes': ['The Schedule amends the New Home Construction Licensing Act, 2017. Here are some highlights:', 'The Schedule enacts the Enhancing Digital Security and Trust Act, 2024.', 'The Bill amends the Ontario Underground Infrastructure Notification System Act, 2012. Here are some highlights:', 'The Schedule repeals the Consumer Protection Act, 2002 and enacts the Consumer Protection Act, 2023 in its place.', 'The Bill proclaims July 7 in each year as Group of Seven Day.']}","{'motion_name': [], 'motion_href': []}"
karen mccrimmon,"Member, Standing Committee on the Interi",Kanata—Carleton,Ontario Liberal Party,"{'bill_name': ['Bill 201, Commercial to Residential Conversion Act, 2024', 'Bill 168, Stormwater Flood Prevention Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-201', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-168'], 'explanatory_notes': ['The Bill amends section 177 of the Environmental Protection Act so that a regulation providing for an exemption from clause 168.3.1 (1) (b) cannot include a limitation based on the height of a building.', 'The Bill enacts the Stormwater Flood Prevention Act, 2024 to require the Minister to publish a final version of the Low Impact Development Stormwater Management Guidance Manual in the form of a guidance document that provides technical and procedural guidance for planning, design and operation of stormwater management practices. The Act also requires the Minister to prepare a report, 10 years from the day the guidance document is published and every 10 years thereafter, reviewing the adequacy of those guidelines, and to publish that report.']}","{'motion_name': ['Motion 144'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_11EDEA45-7F9C-EF11-8A69-6045BD5BE34F']}"
graham mcgregor,Associate Minister of Auto Theft and Bail Reform,Brampton North,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 2'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_AD6683FD-F81E-ED11-B83E-002248D51D1B']}"
mary margaret mcmahon,"Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Beaches—East York,Ontario Liberal Party,"{'bill_name': ['Bill 225, Resource Recovery and Circular Economy Amendment Act (Beverage Container Deposit Program), 2024', 'Bill 211, Persons Day Act, 2024', 'Bill 205, Turn Down the Heat Act (Extreme Heat Awareness), 2024', 'Bill 56, Fewer Floods, Safer Ontario Act, 2023', 'Bill Pr2, 405456 Ontario Limited Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-225', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-211', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-205', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-56', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr2'], 'explanatory_notes': ['', 'The Bill proclaims October 18 in each year as Persons Day.', 'The Bill enacts several measures related to the public awareness of extreme heat.', 'The Bill enacts several measures related to the public awareness of flooding issues.', '1 405456\xa0\xa0Ontario Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 24'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_64A96464-FB6F-ED11-81AC-002248D51D1B']}"
caroline mulroney,Minister of Francophone Affairs President of the Treasury Board,York—Simcoe,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 174, Supply Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-174'], 'explanatory_notes': ['1 In this Act,']}","{'motion_name': [], 'motion_href': []}"
sam oosterhoff,Associate Minister of Energy-Intensive Industri,Niagara West,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 55'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_C6CE4634-6BEF-ED11-8847-000D3AF4FB27']}"
billy pang,"Parliamentary Assistant to the Minister of Education Member, Standing Committee on Government Agencies Member, Standing Committee on Social Policy",Markham—Unionville,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill Pr36, Eastern Children of Israel Congregation Act, 2024', 'Bill Pr12, Artgem Granite and Marble Inc. Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr36', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr12'], 'explanatory_notes': ['1 Eastern Children of Israel Congregation is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 Artgem Granite and Marble Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 136', 'Motion 56'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_CD5F530D-3596-EF11-8A69-002248B2E8A8', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_2CD084C8-21F0-ED11-8847-000D3AF4FB27']}"
michael parsa,"Minister of Children, Community and Social Servic",Aurora—Oak Ridges—Richmond Hill,Progressive Conservative Party of Ontario,"{'bill_name': [""Bill 188, Supporting Children's Futures Act, 2024""], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-188'], 'explanatory_notes': ['The Bill amends the Child, Youth and Family Services Act, 2017 and makes various related amendments to several other Acts. Here are some highlights of the amendments to the Child, Youth and Family Services Act, 2017:']}","{'motion_name': [], 'motion_href': []}"
chandra pasma,"itic, Education Vice-Chair, Standing Committee on Government Agenci",Ottawa West—Nepean,New Democratic Party of Ontario,"{'bill_name': ['Bill 226, Fixing Tribunals Ontario Backlogs Act, 2024', 'Bill 222, Heat Stress Act, 2024', 'Bill 198, Ontario Climate Change Adaptation and Resilience Act, 2024', 'Bill 191, Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024', 'Bill 172, Affordable Energy Act, 2024', 'Bill 140, Improving Air Quality for Our Children Act, 2023', 'Bill 124, Stopping the Misuse of Non-Disclosure Agreements Act, 2023', 'Bill 47, Protecting Human Rights in an Emergency Act (Emergency Power Generators), 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-226', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-222', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-198', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-191', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-172', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-140', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-124', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-47'], 'explanatory_notes': ['The Bill makes amendments to the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2019, the Human Rights Code and the Residential Tenancies Act, 2006.', 'The Bill amends the Occupational Health and Safety Act to add a new Part IV.1. Part IV.1 requires the Minister to develop and implement a Worker Heat Protection Standard and sets out requirements for that standard. Every employer is required to ensure there is heat stress training for employees.', 'The Bill enacts the Ontario Climate Change Adaptation and Resilience Act, 2024. The Act provides that the Minister of Environment, Conservation and Parks or such other member of the Executive Council as may be assigned the administration of this Act under the Executive Council Act shall develop and publish a strategic action plan that aims to ensure that Ontario citizens, communities, infrastructure and natural environment are protected from the risks and impacts of climate change. The Act also requires the Minister to establish an arm’s length Ontario Climate Adaptation Fund to support the implementation of adaptation and resilience activities included in the strategic action plan. The Minister is also required to establish the Ontario Climate Change Adaptation and Resilience Resource Centre. The Lieutenant Governor in Council is required to establish a Whole-of-Government Climate Adaptation Co-ordination Secretariat that, among other things, will co-ordinate and assist with the implementation of science-aligned climate adaptation plans for all government ministries and agencies, including formulating and implementing policy, legislation and regulations.', 'The Bill enacts the Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024, which establishes the Early Years Workforce Strategy Advisory Committee. The function of the Committee is to develop recommendations on how to support registered early childcare educators and the childcare and early years workforce with respect to certain matters. The Committee is required to provide its recommendations in an annual report to the Minister of Education, the Minister of Labour, Immigration, Training and Skills Development and the Minister of Colleges and Universities. The Minister of Education is required to meet with the Committee at certain times and to prepare a status report setting out any actions taken by the Government with respect the recommendations of the Committee.', 'The Bill enacts the Affordable Energy Act, 2024.', '1 In this Act,', 'The Bill enacts the Stopping the Misuse of Non-Disclosure Agreements Act, 2023. The Act prohibits any party responsible, defined in the Act as the person who has an obligation in the law to take reasonable steps to prevent discrimination, harassment, sexual harassment or sexual assault in the place where one or more of these happened or is alleged to have happened, from entering into a non-disclosure agreement with a relevant person, defined in the Act as the person who has experienced or made an allegation of one of the underlying acts, if the non-disclosure agreement has the purpose or effect of concealing the details of the incident.', 'The Bill enacts the Protecting Human Rights in an Emergency Act (Emergency Power Generators), 2022. The Act amends the Residential Tenancies Act, 2006 and the Condominium Act, 1998 to require landlords and corporations, respectively, to ensure buildings have emergency power generators.']}","{'motion_name': ['Motion 134', 'Motion 96', 'Motion 58', 'Motion 32', 'Motion 17'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_3D9EB1A5-5491-EF11-8A6A-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_E7155AE1-91FD-EE11-9F89-0022483C53EC', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_63E94909-45FE-ED11-8F6C-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_1186F566-2BB2-ED11-83FD-000D3A0A206A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_8CC04DC0-4359-ED11-9562-002248D51D1B']}"
david piccini,"Minister of Labour, Immigration, Training and Skills Developm",Northumberland—Peterborough South,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 190, Working for Workers Five Act, 2024', 'Bill 149, Working for Workers Four Act, 2024', 'Bill 79, Working for Workers Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-190', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-149', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-79'], 'explanatory_notes': ['The Schedule amends the Building Opportunities in the Skilled Trades Act, 2021 to provide that the regulations may set out alternative criteria for academic standards.', 'The Schedule amends the Digital Platform Workers’ Rights Act, 2022 as follows:', 'Amendments are made to the Employment Protection for Foreign Nationals Act, 2009 relating to contraventions of subsection 9 (1) or (2) of the Act in respect of a passport or work permit. The Act is amended to provide that the Ontario Labour Relations Board shall reduce the penalty set out in the notice of contravention where certain conditions apply. The Act is also amended to establish higher maximum fines for a conviction for the contravention.']}","{'motion_name': [], 'motion_href': []}"
natalie pierre,"Deputy Government Whip Parliamentary Assistant to the Associate Minister of Mental Health and Addictions Parliamentary Assistant to the Minister of Sport Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Burlington,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill PR60, Skybolt Construction Company Limited Act, 2024', 'Bill Pr16, Flight Level Canada Inc. Act, 2023', 'Bill Pr15, 816537 Ontario Inc. Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr60', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr16', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr15'], 'explanatory_notes': ['1 Skybolt Construction Company Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 Flight Level Canada Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 816537 Ontario Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 135', 'Motion 68', 'Motion 28'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_0F6EC3DA-4295-EF11-8A69-000D3A0C23B9', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_791D4B93-BE6D-EE11-8179-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_929CC65D-3976-ED11-81AC-000D3AF41FC2']}"
steve pinsonneault,"Parliamentary Assistant to the Minister of Rural Affairs Member, Standing Committee on Government Agencies Member, Standing Committee on the Interi",Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
george pirie,Minister of Mi,Timmins,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 71, Building More Mines Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-71'], 'explanatory_notes': ['The Bill amends the Mining Act.']}","{'motion_name': [], 'motion_href': []}"
nolan quinn,Minister of Colleges and Universiti,Stormont—Dundas—South Glengarry,Progressive Conservative Party of Ontario,"{'bill_name': [""Bill 123, Erin's Law (Child Sexual Abuse Prevention and Reporting), 2023""], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-123'], 'explanatory_notes': ['The Bill amends the Education Act to require each school board to establish a policy under which pupils in its schools are engaged annually, in a developmentally appropriate manner, regarding the topics of child sexual abuse prevention and reporting. Each board is also required to make information available to parents and guardians and to provide information annually to teachers and other staff in schools. The Minister is authorized to make regulations respecting how these requirements are to be satisfied.']}","{'motion_name': [], 'motion_href': []}"
